T,TM,Tm,SLP,H,visi,V,CO,NO_2,O_3,PM.2.5,PM10,SO_2
33,38.4,25.3,997.6,58,1.8,4.8,0.319999993,30.63999939,61.06000137,90,22.04999924,6.400000095
35.6,41,27.3,995.5,49,1.9,7.4,0.310000002,47.74000168,36.88000107,97,37.27000046,8.020000458
35.9,41,31.2,996,47,1.9,10.9,0.280000001,52.72999954,41.52000046,79,29.69000053,3.710000038
35.2,40.6,29.8,995.4,59,1.9,7.6,0.319999993,52.16999817,52.18999863,87,26.78000069,8.270000458
33.4,39.4,29.4,996.1,62,1.9,13,0.25999999,44.09999847,58.02999878,63.5,19.29000092,11.57999992
31,39.4,27.8,999.2,74,1.9,11.5,0.829999983,86.59999847,26.80999947,50,28.27000046,8.3
31.2,35.7,27.2,998.4,75,1.9,6.3,0.430000007,69.31999969,35.13000107,40,14.64999962,9.420000076
31.2,37.1,27.6,996.8,71,1.9,8.1,0.430000007,33.97000122,53.72000122,49,34.08000183,10.60000038
31.5,37.1,25.9,996.1,71,1.9,8.9,0.50999999,102.5,18.47999954,43,58.08000183,24.62999916
32.3,39.8,28.5,995.3,66,1.9,11.1,0.370000005,63.81000137,40.81999969,52,32.27999878,9.279999733
32.7,39.8,25.2,997.2,59,1.9,10.6,0.889999986,127.8000031,11.97999954,49,45.72000122,11.36999989
33.9,39.2,27.8,995.2,62,1.9,8.9,0.430000007,97.80999756,17.04000092,61.875,27.53000069,8.789999962
31.6,37.6,26.9,997.5,76,1.9,6.5,0.49000001,95.95999908,16.90999985,29.66666667,31.89999962,8.989999771
32.4,37.5,28.4,997.1,73,1.9,9.3,0.670000017,94.23999786,17.07999992,47,21.38999939,7.809999943
32.1,37.5,28.3,997.6,72,1.9,11.9,0.5,85.06999969,30.96999931,37,29.05999947,11.97000027
31.2,36.7,27.3,1000.4,75,1.9,11.3,1.110000014,107.5,8.579999924,33,50.47000122,14.05000019
31.1,35,27.9,1000.1,81,1.9,7.2,0.49000001,83.25,44.54000092,49.125,36.88000107,7.349999905
30.3,35.8,27.2,997.5,78,1.9,7.6,1.360000014,134.1000061,6.159999847,43,77.66999817,20.26000023
29.2,35.4,24.6,996.4,81,1.8,7.4,0.850000024,80.91999817,34.91999817,29,29.02000046,15.31999969
29.8,35.1,22.8,995.8,79,1.9,6.5,0.400000006,72.37999725,20.25,29.66666667,30.15999985,5.369999886
31.7,36.2,26.8,997.9,74,1.9,8.1,0.75999999,94.87000275,18.98999977,56,37.38000107,18.42000008
29,36.2,27.3,999.9,90,1.8,5.6,0.50999999,102.0999985,18.56999969,39,38.45999908,5.559999943
31.8,36.7,25.8,998.8,75,1.9,8.3,0.870000005,107,21.06999969,35,52.15000153,8.43999958
31.1,37.2,28.2,997.5,76,1.9,3.9,0.699999988,109.4000015,11.36999989,37,41.95999908,10.56999969
31.7,37.2,26.8,998.3,78,1.9,7.8,0.920000017,99.36000061,23.62000084,41,47.75,7.940000057
29.8,36.4,28,999,87,1.8,4.6,0.50999999,77.88999939,17.64999962,53,47.27999878,8.640000343
30.8,35.1,26.7,997.9,82,1.9,6.1,0.550000012,87.36000061,23.45000076,54,35.04999924,4.539999962
30.4,34.1,27.2,995.6,84,1.6,4.4,0.529999971,92.63999939,23.37000084,65,31.71999931,10.35999966
30.9,35.4,25.8,995,77,1.9,10.4,0.519999981,81.83999634,31.28000069,38,17.48999977,13.44999981
26.8,35.4,24.2,999,93,1.1,6.3,1.210000038,111,14.47000027,36,33.81999969,12.52999973
29.1,33.8,23.9,996.3,86,1.4,2.6,0.839999974,103.3000031,10.13000011,70,33.34999847,15.77000046
29.5,32.7,26.7,996.9,84,1.6,5.7,0.579999983,65.16999817,30.31999969,52,37.86999893,11.47999954
31.2,35.5,26,997.9,78,1.9,4.3,0.959999979,124.6999969,7.440000057,36,73.88999939,27.37999916
30.2,37.1,27.9,997.2,84,1.4,4.8,0.730000019,97.19999695,20.01000023,45,37.90999985,11.53999996
28.5,34.4,26.3,995.5,87,1.6,7,1.50999999,129.5,9.710000038,33,68.45999908,15.56999969
30.4,35.1,24.8,995.2,77,1.9,5.2,0.75,108,8.359999657,38,49.74000168,10.97999954
30,35.5,26.2,997.5,83,1.9,3.7,0.680000007,111.5999985,9.720000267,26,71.09999847,14.25
32.4,36,27,997.9,72,1.9,5.7,0.860000014,105,11.31999969,57,30.54000092,9.329999924
30.9,36,27.2,997.4,81,1.9,5.9,0.800000012,122.4000015,7.119999886,30,78.20999908,17.45000076
30.2,36,25.8,996.9,82,1.9,8.9,1.450000048,115.4000015,6.96999979,35,59.99000168,15.69999981
29,33.7,26.9,996.5,82,1.9,9.8,0.730000019,100.0999985,36.59000015,15,52.43999863,10.34000015
31.1,34.9,25.9,998.2,76,1.9,6.7,1.720000029,152.8000031,2.619999886,41,90.69999695,25.46999931
31.8,36,27.5,999.6,71,1.9,11.7,1.370000005,103.0999985,22.73999977,25,42.93000031,18.62000084
32.2,36.1,27.4,1000.8,69,1.9,9.3,0.589999974,86.62000275,11.72999954,28,38.09999847,6.920000076
32.3,36.1,27.5,1000,70,1.9,4.4,1.129999995,106.8000031,13.44999981,40,58.08000183,21.29999924
29.4,35.8,27.7,1000.7,82,1.4,6.1,0.430000007,89.97000122,29.52000046,39,37.13999939,5.610000134
27.3,34.3,25.8,1002.4,92,1.4,4.8,1.570000052,120.8000031,16.42000008,41,73.44000244,10.06999969
28.4,30.6,25.3,1001.8,88,1.4,3.1,0.99000001,115.0999985,7.130000114,50,56.72999954,14.10000038
28.1,30.8,25.8,1000.6,88,1.9,8,1.059999943,132.1999969,6.519999981,35,71.98999786,9.609999657
27.4,30.8,25.4,1000.8,90,1.9,3.1,0.649999976,96.43000031,10.84000015,31,58.5,9.93999958
29.3,34.9,25,1000.2,83,1.9,5.7,0.709999979,106.5999985,11.13000011,36,51.93999863,7.949999809
29.8,33.2,26.1,1001.5,82,2.3,6.7,0.800000012,96.93000031,25.38999939,33,52.90000153,12.15999985
30.3,34.6,26.7,1001.1,80,1.9,7,0.709999979,103.1999969,18.40999985,35,26.85000038,15.64000034
30.1,34.6,27.2,1000,79,1.9,10.2,1.370000005,124.1999969,9.090000153,35,55.75,14.72000027
29.7,34.9,26.1,1000.3,79,1.9,8.3,0.720000029,94.08999634,5.710000038,26,68.98000336,19.30999947
27.7,30.7,24.8,1001.8,88,1.9,7.2,0.689999998,80.91999817,22.07999992,21,44.61000061,13.28999996
26.9,30.5,25.4,1000.2,93,1.6,5.7,0.800000012,130.6999969,9.069999695,18,92.44999695,27.21999931
27.3,32.6,23.5,999.3,92,1.3,13.9,0.959999979,110.0999985,13.55000019,28,56.31999969,14.13000011
28.9,33.1,24.4,999.6,83,1.9,2.8,1.799999952,127.6999969,8.859999657,34,91.83999634,19.46999931
28.4,33.1,26,1000,86,1.9,5,1.649999976,110.4000015,8.380000114,35,100.3000031,11.57999992
