"","Temperature","Humidity","Wind.Speed..km.h.","Visibility","Pressure","so2","no2","Rainfall","PM25","PM10"
"4406",22.37777778,0.86,15.7136,11.1251,1019.54,12.7,35,55.8,11.18,10.354
"4407",21.42222222,0.91,11.8657,10.5455,1019.86,8.4,30.2,55.6,65.05,9.952
"4409",19,0.99,10.7709,11.27,1019.62,8.5,32.8,61.9,29,8.103
"4410",18.67777778,0.99,9.8371,11.4471,1019.73,8.2,30.4,63.2,13,7.457
"4411",18.37222222,1,4.9266,11.27,1019.52,8.2,29.9,64.9,48.12,9.761
"4413",17.97222222,0.97,7.4865,11.4471,1020.45,11.8,34.2,66.8,102,22.192
"4414",17.19444444,1,7.9373,10.0464,1020.88,9.5,29.1,65.5,76,25.708
"4416",17.28888889,0.97,6.6654,14.8764,1022.04,13.2,34,62.6,18.77,34.7
"4417",16.73333333,1,6.4883,15.7297,1022.61,14.8,30.7,63.6,11.61,39.483
"4418",18.86666667,1,6.4561,14.812,1022.82,14.9,31.5,64.1,11,41.086
"4421",26.10555556,0.69,3.2361,2.0608,1023.7,12.8,34.5,63.7,28.42,23.381
"4422",27.19444444,0.63,4.0089,1.5778,1023.96,11.2,33.4,62.9,63.08,34.6
"4424",28.88333333,0.59,8.0178,2.5921,1025.23,11.2,32.8,61.2,37.11,43.801
"4425",29.00555556,0.59,5.4901,8.3398,1025.77,13,33.1,60.9,80.41,44.678
"4429",29.92777778,0.49,6.4078,15.8263,1027.22,12,33.8,61.6,104.77,15.686
"4430",29.83888889,0.49,7.9534,11.27,1027.31,11.9,30.2,60.8,43.65,15.821
"4432",23.81666667,0.84,4.6368,11.27,1026.73,11.9,30.3,59.3,22,13.783
"4433",23.21666667,0.84,4.9266,11.27,1026.73,13.1,34.7,64.3,51,21.629
"4434",22.13888889,0.88,6.601,11.4471,1026.52,15.3,26.7,63.1,70,12.196
"4435",21.04444444,0.97,3.3488,11.2056,1026.32,11.1,32.6,64.4,40.55,10.899
"4436",21.04444444,0.97,4.3792,11.2056,1026.42,11.6,32.9,67.3,29,12.403
"4437",20.02777778,0.98,4.7817,11.3988,1026.7,12.4,33.9,65.1,45.99,8.692
"4438",19.92777778,1,1.6583,11.2056,1027.02,12.3,33.7,66.7,28,10.961
"4439",19.37222222,0.97,3.4293,15.8263,1027.73,10.1,31.9,65.7,58,13.877
"4442",22.22222222,0.81,3.703,15.8263,1027.65,11.6,30.3,66,98.71,11.149
"4443",24.63888889,0.75,3.4937,14.168,1023.78,13.9,32,62.9,30.88,8.483
"4444",25.86666667,0.7,3.6064,1.2236,1027.24,10.3,33.1,62.2,41,8.19
"4445",27.23333333,0.61,3.4293,1.7549,1027.13,8.7,28.3,63.5,51,9.124
"4446",28.17777778,0.6,3.5581,2.9785,1027.14,9.7,30.3,67.6,18.03,10.193
"4449",26.88333333,0.55,5.0393,9.982,1027.32,9,31.1,-99,30,17.4
"4452",27.15555556,0.56,7.9051,11.3988,1026.43,11,28.6,72,74.13,11.906
"4453",27.01111111,0.61,9.2092,11.27,1026.21,11.2,25.9,66.8,79.11,10.327
"4454",24.92777778,0.7,9.4668,11.2056,1025.83,11.8,28.7,63.5,36,9.317
"4455",24.02222222,0.72,10.1269,10.3523,1025.63,11.8,29,66.4,107,8.224
"4456",22.15,0.82,12.4131,9.982,1025.02,12,28.3,63.2,99,8.772
"4457",21.03888889,0.82,12.3004,9.982,1024.6,10.5,31.5,64.7,30.9,8.232
"4459",20.43888889,0.93,13.9909,9.982,1023.72,10.2,23.9,70.2,59,10.825
"4461",18.56666667,0.98,4.7978,10.3523,1023.41,10.9,25.7,80.7,30,13.806
"4462",18.28333333,1,4.4758,9.982,1023.24,10.8,31.3,76.7,33,8.536
"4463",18.31111111,1,3.22,15.8263,1023.63,10.3,26.5,75.5,39,9.385
"4464",18.45555556,0.99,6.3595,14.168,1023.67,7.7,15.9,73.4,76.81,9.995
"4466",19.93333333,1,6.5366,14.9086,1023.14,13,28.3,72.6,34,12.246
"4467",22.63888889,0.85,4.3631,14.9569,1020.18,9.9,30.1,73.2,28.39,14.328
"4469",26.11111111,0.65,10.6743,14.9086,1022.59,11.6,28.2,76.8,58,18.272
"4470",26.1,0.65,10.1913,14.9569,1022.65,12.2,28.6,78,37,8.811
"4471",26.22777778,0.73,10.8514,9.982,1022.85,11.7,27.9,79.9,15.03,8.939
"4472",22.70555556,0.74,11.5115,9.982,1022.73,11.8,28.6,82,12.17,10.085
"4473",26.08888889,0.67,13.3469,10.3523,1022.51,12.3,29.1,86.5,26.11,13.361
"4475",26.31666667,0.64,15.4399,9.982,1022.46,11.4,29,80.3,41.24,15.873
"4476",27.25555556,0.59,15.4882,11.3988,1022.37,12.6,30.3,78.9,30.69,10.457
"4477",27.82222222,0.62,15.7458,11.2056,1022.15,12,28.3,80.8,38,7.551
"4478",27.24444444,0.64,14.3612,9.982,1021.75,11,27,84.1,119,9.553
"4479",25.1,0.71,15.5043,10.3523,1021.36,11.6,28.6,85.3,101.68,11.808
"4480",22.75555556,0.84,17.1143,9.982,1020.56,11.5,28.4,82,18.74,13.694
"4482",21.10555556,0.92,13.685,10.3523,1020.26,11.5,27.9,83.9,192.59,9.019
"4483",22.10555556,0.84,15.5365,9.982,1019.84,11.5,28,84.2,2.86,14.745
"4484",21.62222222,0.84,11.0446,9.982,1019.82,10.1,31.4,85.8,23,18.279
"4485",21.2,0.87,8.05,10.3523,1019.68,10.7,33.1,86.2,26.11,20.728
"4486",20.07222222,0.9,7.6797,9.982,1019.84,10.6,30.3,86.3,9.76,23.327
"4487",20.11666667,0.89,3.1878,15.8263,1020.43,10.5,31.6,87.2,122,24.721
"4488",19.37777778,0.92,3.3649,14.9569,1020.28,10.4,32.7,89.1,38,23.895
"4489",22.10555556,0.81,3.3649,15.8263,1020.03,10.8,31.6,89.7,59,13.612
"4490",22.10555556,0.81,2.9463,15.8263,1019.63,10.7,30.4,91.4,19,16.027
"4491",22.08888889,0.78,5.5384,14.9569,1017.74,9.5,32.1,86.1,150,18.815
"4493",25.90555556,0.65,2.9946,15.8263,1018.64,10.7,34.1,89.5,37.95,9.346
"4495",27.61666667,0.55,7.728,9.982,1018.62,11.8,32.7,88.8,41.37,9.414
"4498",27.68888889,0.52,7.6314,11.2056,1017.8,11,31.4,89.8,34,17.075
"4502",22.8,0.61,10.9963,11.2056,1017.17,9.7,30.5,91.8,26,27.722
"4504",22.12777778,0.55,8.05,11.2056,1016.21,11.7,32.6,91.9,24,26.667
"4505",21.52777778,0.59,11.4149,11.2056,1015.61,11.6,33.2,81.1,49,33.228
"4506",20.32777778,0.54,11.0607,10.3523,1015.64,10.8,33.5,88.6,20,32.382
"4508",19.86111111,0.97,9.0804,9.982,1015.9,11.4,32.1,88.8,27,13.424
"4509",19.46666667,0.99,7.3094,10.3523,1016.07,10.5,31.3,87.7,18.93,14.099
"4510",18.75,0.97,2.898,9.982,1016.44,11.9,33.8,87.6,30.88,13.08
"4512",17.96111111,0.99,12.5097,15.3111,1017.38,9.8,31.6,90.2,45.99,9.254
"4513",18.71111111,1,10.3362,15.8263,1017.7,10.8,30.9,89.1,75.32,9.004
"4516",26.06666667,0.6,3.703,15.8263,1017.35,11.6,32.6,88.2,24,16.959
"4517",27.77777778,0.58,3.6064,15.7297,1017.05,9.2,30,91.2,93,26.92
"4518",28.67777778,0.46,4.0894,14.8764,1017.47,11.4,31.8,97.1,14,30.557
"4521",30.1,0.44,4.8944,9.982,1017.96,9.9,31.5,91.9,112.95,10.862
"4522",31.08333333,0.44,11.109,9.982,1017.7,10.3,31.6,92.4,64.41,12.51
"4523",30.06666667,0.46,12.7673,9.982,1017.62,12.5,29.1,-99,35.42,14.851
"4524",30.26111111,0.44,13.3308,11.3988,1018,7.9,31.3,92.7,58.89,12.162
"4525",31.06111111,0.44,19.8191,11.2056,1017.82,10.3,31.8,90.9,31,18.179
"4526",28.88888889,0.55,16.9533,11.2056,1017.91,12.3,32.4,91.9,30,22.142
"4528",23.81666667,0.79,14.2163,9.982,1017.51,11.5,31.8,90.9,34,24.403
"4529",23.19444444,0.82,12.3004,9.982,1017.49,9.8,31.4,84.6,24,13.451
"4530",22.21666667,0.83,12.4936,10.3523,1017.63,11.9,33.7,83.4,159.95,14.463
"4531",20.99444444,0.87,12.5097,9.982,1017.59,10.3,32.3,89.7,87.62,16.76
"4532",20.44444444,0.9,8.9516,9.982,1017.69,12.8,34.1,89.5,50,17.126
"4533",20.33333333,0.9,4.991,10.3523,1017.76,11.6,31.4,89.6,36,13.234
"4534",19.26111111,0.94,7.9695,9.982,1017.92,13.1,33.7,91.4,18.03,20.313
"4537",18.8,1,0,15.8263,1018.79,11.4,31.6,100.7,48,11.036
"4539",24.01111111,0.74,3.4937,14.168,1018.19,9.4,30.4,95.5,16.33,10.604
"4540",27.17777778,0.65,6.0536,15.8263,1018.3,10.2,33.2,99.5,26.16,11.114
"4541",28.86666667,0.55,3.1556,15.8263,1018.12,9.5,31.5,100.2,62.85,10.35
"4542",29.92222222,0.46,3.5259,14.9569,1018.64,8.8,30.3,101,48.12,13.998
"4543",31.11111111,0.45,4.669,9.982,1018.89,9.2,30.2,100.9,30.9,14.11
"4544",32.15,0.42,1.4973,9.982,1018.89,10.1,30.9,102.1,3.15,8.144
"4545",32.14444444,0.4,5.152,9.982,1018.92,10.2,30.9,96.6,70,6.279
"4546",32.73333333,0.41,3.2039,9.982,1018.24,11.1,32.3,91.7,13.31,7.979
"4548",32.22222222,0.37,1.771,10.4006,1018.56,8.7,29.1,89,49.77,6.773
"4549",32.15,0.41,5.152,9.982,1018.55,9,28.8,83.8,80,8.183
"4550",30.02222222,0.48,4.669,9.982,1018.46,9.1,28.8,84.3,17.9,16.667
"4551",27.5,0.53,9.9015,15.3111,1018.35,8.3,28.7,82.7,20,11.625
"4552",24.93333333,0.62,3.1878,9.982,1017.67,8.8,30,80.1,48.5,8.611
"4553",23.77222222,0.67,4.8139,9.982,1017.17,8.8,30.3,84.1,16.87,6.634
"4558",17.05555556,0.76,3.2361,9.982,1017.28,8.4,30.1,92.4,16.01,10.678
"4559",15.43333333,0.84,3.0751,15.8263,1017.49,8.9,30.2,92.1,145.15,8.645
"4560",14.73333333,0.85,5.9248,14.9569,1017.67,8.8,29.8,88.2,46.81,9.878
"4562",17.71111111,0.73,6.1502,15.8263,1017.5,8.6,29.6,83.4,84.88,7.435
"4564",22.68888889,0.48,3.0912,14.9086,1017.47,8.6,29.6,91.4,31.67,9.054
"4566",24.8,0.41,2.8819,9.982,1017.31,8.8,29.9,89.8,25,8.555
"4567",25.06666667,0.39,3.1073,9.982,1017.5,8,28.8,84.2,34,7.857
"4568",26.13333333,0.31,3.3488,9.982,1017.78,8.6,29,84.1,51.04,8.076
"4569",27.1,0.33,5.0876,9.982,1018.03,8.5,28.4,89.3,76,8.96
"4570",27.73333333,0.28,9.4185,9.982,1018.06,11,29,90.7,51,11.573
"4572",27.21666667,0.33,9.4668,10.3523,1017.99,10.3,28.8,89.2,5.44,9.454
"4573",26.12777778,0.36,11.2056,9.982,1017.95,10.9,29.1,85.7,48,7.256
"4575",22.68333333,0.44,10.8675,10.3523,1017.8,8.9,29.9,91.3,28.39,7.462
"4577",17.73333333,0.72,11.3666,9.982,1016.34,9,30.3,85.2,42.91,10.45
"4578",16.45555556,0.77,10.3201,11.3988,1016.07,8.8,30.8,84.2,30.52,12.547
"4579",15,0.82,9.821,11.2056,1015.59,9,30,84.4,87,15.112
"4580",14.44444444,0.8,7.8407,9.982,1015.77,7.8,30.8,87.3,34,20.713
"4584",12.08888889,0.91,3.6708,14.9569,1016.85,10.5,28.4,91.2,44.92,23.075
"4585",14.89444444,0.83,3.6064,15.8263,1016.7,10.2,28.7,86.2,13,10.355
"4586",19.73888889,0.69,3.4293,15.8263,1016.73,8.2,30.5,88.7,34,12.748
"4587",22.6,0.51,2.0447,8.4203,1017.63,9.9,28.6,87,19,19.696
"4588",25.92222222,0.37,3.3649,15.7297,1017.22,10.2,28.3,83.8,31.61,7.876
"4589",26.08333333,0.31,3.0751,15.6492,1017.6,8.5,30.6,88.7,83.08,7.545
"4590",27.02222222,0.3,3.6386,11.5276,1017.8,9.3,31.3,91.7,18.03,8.191
"4591",28.28333333,0.31,0,11.0446,1018.11,8.8,29.7,90,76,6.238
"4592",27.82222222,0.33,0.1449,11.1251,1018.08,9.9,31.3,83.7,56.34,9.08
"4594",28.88333333,0.33,3.4454,11.2056,1018.04,9.8,30.4,91.9,28.39,13.279
"4596",28.78333333,0.31,7.3094,10.3523,1018.89,9.7,29.8,85.5,49,7.667
"4597",28.88888889,0.31,5.1198,10.0464,1018.84,9.2,31.3,79.3,47.77,6.934
"4598",27.24444444,0.41,9.2575,11.27,1018.46,8.8,31.1,80.9,45,8.964
"4599",24.27777778,0.51,8.1949,11.4471,1018.46,9.1,31.2,84.6,100.31,7.512
"4600",22.24444444,0.59,5.0393,11.27,1017.39,5.7,40.7,86.1,59,5.922
"4601",20.49444444,0.66,4.9749,11.27,1016.91,5.2,48.5,89.9,106.6,7.254
"4602",19.26111111,0.71,8.3237,11.4471,1016.9,5.6,56.9,91.4,38,10.879
"4604",18.25,0.78,3.6386,11.2056,1016.59,5.2,37.3,87.7,159.95,7.496
"4608",15.95555556,0.88,2.7209,14.168,1017.76,5.1,35.7,87,63.13,9.91
"4609",17.23333333,0.86,3.22,14.9086,1017.7,5,37.8,87.4,50,9.175
"4610",19.77222222,0.79,6.44,14.9086,1017.6,5.3,36.4,88.5,6,9.378
"4611",22.03333333,0.69,3.3971,14.0875,1015.35,5.5,37.3,90.1,26,7.882
"4612",23.72222222,0.63,11.27,6.2951,1017.5,5.5,41.5,89.7,93,12.294
"4613",26.82777778,0.52,3.1878,6.2951,1017.18,5.4,33.3,88.6,48,12.827
"4615",22.64444444,0.66,4.6046,6.2951,1016.78,5.4,42.9,86.2,51,15.08
"4616",22.36666667,0.67,4.7173,8.05,1016.68,5.7,41.6,88.5,25,15.719
"4617",21.27777778,0.69,5.2808,9.982,1016.77,5,34.9,87.1,78,23.58
"4618",26.08888889,0.47,11.9462,9.982,1016.56,5.2,35.4,88.1,26.11,27.333
"4619",26.13888889,0.49,12.0106,9.982,1016.27,5.4,34.7,88.8,28,8.062
"4620",26.18888889,0.39,9.4346,10.0303,1016.26,5.8,35.8,85.8,133,6.713
"4621",27.17222222,0.39,11.0124,9.982,1016.07,5.5,33.1,90.6,150,5.339
"4623",22.57777778,0.53,9.8532,10.3523,1015.46,5.7,35.8,-99,29.6,5.734
"4625",18.44444444,0.62,7.406,9.982,1014.86,5.4,37,87.7,11.17,8.41
"4626",17.61111111,0.65,9.967,10.3523,1014.45,5.1,30.3,85,36,12.516
"4628",17.63333333,0.63,9.4024,9.982,1014.18,5.2,31.7,84.5,48,11.703
"4630",13.37222222,0.76,4.6207,9.982,1014.3,5.2,35.8,86.5,34,12.119
"4632",11.02777778,0.83,4.025,15.3111,1015.08,5.5,32.8,84.1,65,12.217
"4634",17.52777778,0.53,11.0285,15.8263,1016.61,7,31.6,86.1,34.2,19.169
"4635",20.66666667,0.42,7.5187,13.9104,1013.63,5.7,23.4,85.5,103.48,21.596
"4637",22.22222222,0.35,14.1197,14.9086,1014.4,4.9,28.7,84.7,20,25.209
"4639",23.88333333,0.32,17.0982,5.2808,1013.52,5.6,34.7,82.2,31,26.325
"4640",24.97222222,0.28,21.6545,6.3434,1013.02,4.8,35.8,78.7,24,21.786
"4641",24.99444444,0.31,23.8924,10.5455,1011.97,5.4,31.2,83.1,119.22,9.919
"4642",25.06666667,0.32,23.7314,11.27,1011.36,4.9,32.1,85.1,75.32,14.808
"4643",25.06666667,0.3,23.667,11.0446,1010.49,5.1,37.3,86.4,122,17.388
"4644",25.07777778,0.31,22.057,7.3738,1010.18,5.2,30,88.8,34.16,25.021
"4646",23.86111111,0.32,14.4256,6.0214,1009.17,5.1,32.3,89.1,18,22.077
"4647",21.46666667,0.43,8.8872,6.0375,1008.79,5,33.4,87.4,34,10.751
"4648",16.28888889,0.7,11.5437,5.9731,1008.33,5.2,34.2,87.9,49.15,5.475
"4649",15.57777778,0.67,14.3451,7.8246,1007.82,5.4,30.5,86.5,30.59,5.905
"4650",13.78333333,0.75,12.1877,10.7226,1007.79,5.2,36,85.6,17.62,7.067
"4651",12.80555556,0.8,21.6545,10.8514,1007.98,6.1,33.5,83.4,24,8.399
"4653",11.90555556,0.82,19.7225,10.8031,1009.56,4.8,32.8,79.3,45.99,5.337
"4654",11.36111111,0.83,20.9461,11.0446,1010.48,5.6,31.9,78.4,17.9,14.06
"4655",10.00555556,0.89,16.3898,15.7297,1011.54,5.7,33.3,80.2,5.72,8.086
"4656",9.838888889,0.92,16.3898,14.8764,1012.28,5,32.9,81.6,58.89,11.391
"4658",17,0.64,3.1073,14.812,1014.9,5.3,27.7,79.6,79.11,16.945
"4659",21.68888889,0.43,3.2683,15.3111,1016.48,4.9,31.4,79.8,432.83,20.43
"4660",23.81666667,0.36,5.8604,14.812,1014.53,5.4,34,80.2,20,24.557
"4662",25.87777778,0.3,3.059,8.6296,1014.89,5.1,21.1,79.4,80.57,11.096
"4663",27.19444444,0.26,3.1395,9.8049,1014.54,5.4,27.7,79.6,66,9.307
"4664",27.28888889,0.28,7.6958,9.9015,1014.74,5.4,26.3,77.9,60,8.392
"4666",27.77777778,0.28,5.0554,9.982,1015.04,4.9,39.4,76.5,62.85,9.1
"4667",27.77777778,0.28,8.2432,11.27,1015.14,4.9,30,75.1,37.65,9.318
"4668",27.32777778,0.29,7.5348,11.4471,1015.59,5.2,27.1,74.1,26.2,10.317
"4670",27.15,0.34,9.6278,11.27,1015.43,5.4,26.9,74.2,42.94,9.913
"4671",23.05555556,0.49,14.9891,11.4471,1015.18,5.2,28.8,75.6,65,6.937
"4672",22.2,0.53,21.8638,11.27,1014.63,5.4,30.6,75.7,133,9.634
"4673",19.93333333,0.61,23.4255,11.2056,1014.52,4.9,27.1,75.9,12.15,12.42
"4674",18.18888889,0.64,21.5901,11.0285,1014.7,5.2,26.7,75.7,48.5,5.7
"4676",16.7,0.72,16.3254,11.27,1014.99,5.1,29.2,75.6,55.05,12.135
"4677",15.60555556,0.8,18.515,11.3988,1015.31,5.7,27.2,75.4,12.47,14.944
"4678",16,0.81,16.905,11.2056,1016.29,5.4,31.9,-99,49.17,13.45
"4679",15.97222222,0.79,13.9104,15.8263,1016.88,5.3,31.2,75.2,49,9.518
"4680",15.25,0.79,6.0053,14.9569,1017.13,5.2,30.8,73.1,28,12.462
"4681",16.02222222,0.78,6.3434,15.8263,1016.89,5.1,28.8,74.5,75.32,9.954
"4682",18.87777778,0.65,6.44,15.8263,1016.82,5.3,31,76.3,33,19.593
"4683",21.13333333,0.58,5.7477,14.9569,1015.02,5,29.4,75.3,119.22,19.974
"4684",24.86111111,0.48,3.22,15.7297,1016.44,5.2,30.1,75.3,37.93,23.678
"4686",27.63333333,0.46,3.1234,9.8371,1016.44,5.4,31.6,70.9,48,13.822
"4687",27.61111111,0.39,4.2665,9.8049,1016.7,4.9,30.9,71.9,34,8.021
"4688",26.15,0.47,4.7978,9.9015,1016.79,4.9,32.2,70.7,23,6.41
"4689",26.98333333,0.45,5.0393,9.982,1017.13,5.4,31,70.6,78,6.06
"4691",27.86666667,0.4,4.6851,9.982,1017.26,6.2,41,68.9,87,11.382
"4693",27.77777778,0.38,8.9355,11.27,1016.95,5.6,35.9,67.7,6.29,8.666
"4697",18.98333333,0.74,4.5402,11.2056,1015.35,4.9,37.7,69.9,103.48,10.422
"4699",15.49444444,0.78,9.4346,11.2056,1014.55,5.3,37.7,72.5,31,10.868
"4700",15.37777778,0.81,8.1305,9.982,1014.26,5.5,37.3,68.6,17.62,9.735
"4701",15.78333333,0.8,7.7119,10.3523,1014.4,5.2,33.3,69.7,45.99,8.342
"4702",14.70555556,0.84,11.27,9.982,1014.46,5.6,34.9,68.9,13,8.31
"4703",14.68333333,0.83,11.0285,15.8263,1014.75,5.5,34.5,67.4,81.13,9.391
"4704",15.6,0.82,10.465,14.9569,1014.65,5.5,33.7,64.3,159.95,11.485
"4705",16.86666667,0.73,11.0607,15.8263,1014.78,5.4,34,63.7,63.29,10.927
"4708",17.43333333,0.85,6.2951,14.9086,1014.66,7,12.1,63.7,11.18,18.274
"4711",22.23888889,0.63,4.7495,9.9015,1013.78,6.1,16,64.8,19,9.738
"4713",24.83888889,0.4,5.4579,9.982,1014.59,7.1,28.4,61.1,59.42,8.45
"4715",23.97222222,0.53,12.7995,9.982,1014.15,6.4,5.6,64.8,44.92,12.71
"4717",22.33333333,0.58,9.4185,10.0464,1014.15,2.7,17.1,64.8,14,15.513
"4718",21.22777778,0.62,14.168,11.27,1013.95,3.5,33.2,63.8,58.89,12.039
"4720",18.91111111,0.77,9.66,10.0464,1012.92,2.9,35.7,63.3,121,17.768
"4721",18.26666667,0.89,5.2325,10.0464,1012.34,3.7,33.8,59.5,25,16.661
"4722",18.17222222,0.84,3.542,10.4006,1011.82,4.5,5.7,58.2,25,5.001
"4723",15.53888889,0.89,8.2593,10.0464,1010.95,10,36.5,58.1,29.91,13.431
"4724",14.46111111,0.91,8.0017,10.0464,1010.4,12,10.5,-99,93,21.429
"4725",13.58888889,0.91,4.7012,10.1913,1012.06,6,19,57.9,8,13.811
"4726",12.57777778,0.92,7.9212,9.8049,1012.22,8,14.7,58,30,10.573
"4727",12.25,0.93,28.2877,15.7297,1013.46,8.8,30.5,62.1,28.69,10.251
"4730",17.15555556,0.81,9.8371,15.7297,1012.92,2.4,42.5,57.2,82.73,8.164
"4731",19.56666667,0.66,4.5563,14.8764,1015.76,6.3,21.7,56.2,51,10.281
"4734",22.67777778,0.61,5.4418,14.8764,1013.49,8.1,11.2,53.3,432.83,11.384
"4735",22.75,0.65,7.8568,11.1251,1013.59,5.1,13.2,53.9,42,12.819
"4736",23.86111111,0.61,9.338,11.1251,1013.85,6.7,25,52.8,58.56,13.264
"4737",24.77777778,0.47,13.363,9.982,1014.24,2.9,7.1,54.7,18.93,16.59
"4738",21.24444444,0.67,13.5079,15.8263,1014.41,6.2,18.8,62.4,16.5,27.918
"4739",23.67777778,0.51,10.7548,10.0464,1014.68,2.5,17.1,65.2,16.94,32.145
"4740",22.32222222,0.62,12.8156,10.4006,1015.43,3.7,9.6,63.5,20,25.64
"4741",20.09444444,0.82,9.9498,10.0464,1015.36,3.4,11,62.4,48,10.667
"4742",19.05,0.87,8.1466,10.0464,1014.88,2.8,12,59.3,36,18.198
"4744",18.82222222,0.89,4.1377,11.27,1014.24,3.9,15.9,55.5,76,16.6
"4745",18.20555556,0.92,2.9141,11.27,1013.66,2.4,11.4,55.2,34,7.922
"4747",17.57777778,0.92,4.83,11.0446,1013.4,5.2,22.6,53.3,17.9,8.017
"4748",15.98333333,0.99,8.855,10.8192,1013.56,1.6,12.7,53.4,38,7.874
"4749",15.6,0.98,32.8923,3.3488,1014.37,2.5,12.5,50.2,16.01,8.138
"4750",14.87222222,0.93,3.3488,11.27,1016.44,3.1,12.4,49.1,47.77,8.37
"4751",14.07222222,0.95,2.8819,12.0428,1015.82,3.4,12.2,51.3,134.1,8.268
"4754",17.6,0.84,6.4561,15.7297,1016.05,3.6,13.4,57.7,100.31,5.305
"4755",19.91111111,0.79,6.6493,6.8425,1016.88,4.2,16,59.5,19.52,4.4
"4756",22.17222222,0.68,11.3827,15.7297,1016.13,3.4,14.5,65.8,85.88,9.165
"4757",22.8,0.62,11.2378,15.7297,1015.73,2.8,13.6,65,34,7.91
"4758",23.78333333,0.61,6.0375,8.3398,1015.99,3.5,15.3,61.7,16.35,8.374
"4760",25.06666667,0.54,10.8675,9.9015,1016.05,3.5,13.3,54.3,36.21,6.074
"4761",26.1,0.49,12.3809,9.982,1016.39,4.9,28.9,57.2,20,5.586
"4764",26.18333333,0.5,12.3004,11.0768,1016.87,5.2,34.5,63.3,29.6,10.644
"4766",24.15555556,0.61,14.2646,11.27,1016.7,5.3,33,61.4,6,9.201
"4768",18.78888889,0.79,12.6707,11.27,1015.89,5.8,36.1,52,37.7,20.02
"4769",17.70555556,0.82,12.6063,11.27,1015.7,7.3,51.4,50.7,26,19.497
"4770",16.38888889,0.97,12.3487,11.4471,1015.43,5.2,31,48.5,70,6.73
"4771",16.64444444,0.93,12.5902,11.27,1015.48,5.5,34.9,49.2,25,9.01
"4772",16.13333333,0.93,12.397,11.27,1015.48,5.6,36.4,54,44.92,11.249
"4773",16.16111111,0.94,7.6636,11.3988,1015.83,5.5,34.8,53.1,59,8.408
"4774",16.08888889,0.93,3.1717,9.982,1016.51,5.2,30.4,52.1,93,10.904
"4775",15.04444444,0.96,6.2951,15.8263,1016.45,5.7,35.6,50,6,6.332
"4777",16.11111111,1,6.2307,11.9784,1016.93,5.6,32.5,54.5,67.53,7.338
"4778",17.17222222,0.93,5.8604,9.982,1017.04,5.7,30.5,51.6,35.73,15.512
"4779",17.76666667,0.97,4.4275,15.3111,1016.86,5.7,31.5,50.4,150,21.026
"4780",18.23888889,0.97,6.3756,6.1105,1017.03,5.5,29.6,51.5,58.56,25.577
"4782",20.87222222,0.82,3.7674,9.4024,1017.28,5.5,34.8,56.4,29.6,35.787
"4783",20.9,0.8,5.1359,6.1105,1017.32,5.8,37.1,57.4,31.9,38.534
"4784",22.36111111,0.74,7.8407,9.982,1017.42,5,37.6,53.6,16.91,47.029
"4785",22.43333333,0.71,4.508,10.3523,1017.58,5.3,36,55.8,24,26.374
"4786",20.88333333,0.8,4.9588,9.982,1017.62,5.5,35.5,57.4,87,19.148
"4789",18.93333333,0.92,1.9964,11.27,1017.68,6,42.5,54,27,59.455
"4791",19.00555556,0.91,7.0357,11.4471,1017.15,5.2,30.4,55,30,39.049
"4792",17.75555556,0.99,7.8246,11.27,1016.77,5.4,33.6,56.3,37.93,12.824
"4794",17.32222222,0.99,1.1914,11.4471,1015.84,5.8,37.5,56.7,83.46,9.375
"4795",17.15,1,3.059,11.27,1015.1,5.5,32.3,64.8,66,13.267
"4796",17.10555556,0.97,3.5581,11.27,1015.05,5.2,33.7,64.8,34,13.262
"4797",16.76111111,0.99,1.9642,11.3988,1015.74,5.2,33.5,61.8,62.22,6.722
"4798",16.62222222,1,4.6529,9.982,1015.98,5,33.2,62.3,60,9.471
"4799",16.6,1,3.2844,15.8263,1016.48,5.1,28,62.6,20,15.05
"4800",16.15555556,0.99,3.5098,14.9569,1016.83,5.4,38.9,64.7,33.61,8.123
"4801",17.10555556,0.93,5.8926,15.8263,1016.91,4.7,19.8,67.3,43,9.136
"4802",17.12777778,1,6.0697,15.8263,1016.88,5.3,33.4,69.4,62.8,8.072
"4803",17.14444444,0.99,3.381,15.3594,1016.88,5.1,25.3,66.9,31,6.716
"4804",17.75555556,0.97,6.3112,15.8263,1016.48,13.2,81.1,65.1,48,10.685
"4805",18.79444444,0.9,6.2307,14.812,1016.35,4.9,30.1,65.3,60.35,11.494
"4806",19.83888889,0.8,6.4883,6.6976,1016.47,5.2,33.8,65.3,34,7.415
"4807",19.90555556,0.84,7.7119,6.118,1016.49,4.6,29.9,67.9,432.83,9.289
"4808",17.82222222,0.96,12.2521,9.9015,1017.06,4.9,76.9,68.9,50.06,10.811
"4809",19.62777778,0.88,12.075,9.9015,1017.25,5.3,32.4,71.4,14,6.886
"4810",18.95,0.9,15.4882,9.982,1017.16,5.5,36.1,73.4,100.31,7.499
"4811",17.95555556,0.96,12.4775,9.982,1017.45,5.1,40.7,73.8,30.12,9.484
"4812",18.91666667,0.91,14.0553,10.4006,1017.41,5.2,39.2,73.6,34,9.107
"4813",18.82222222,0.85,14.2324,9.982,1017.24,5.2,32,73.5,61.29,7.022
"4814",18.8,0.84,14.2968,9.982,1016.95,5.7,29.6,78.1,11.45,8.871
