"","Temperature","Humidity","Wind.Speed..km.h.","Visibility","Pressure","so2","no2","Rainfall","PM25","PM10"
"207",17.86666667,0.91,19.0785,15.3594,1012.55,3.7,17,82.6,20,4.302
"208",17.2,0.93,17.5973,11.27,1012.03,10.5,25.4,82.6,3,2.027
"209",17.2,0.97,20.3343,11.27,1011.81,3.7,8.3,83.4,38,3.607
"211",16.6,0.93,14.3773,9.982,1011.2,11.9,8.3,88.4,23,5.494
"212",16.6,0.93,10.8997,9.982,1011.5,8.7,8.5,88.4,39,6.991
"213",16.07777778,0.93,4.7173,9.982,1011.76,6.6,16.6,85.1,45,8.086
"215",14.93333333,0.87,3.5742,15.8263,1012.31,7.1,15.4,78.9,24,3.427
"217",13.86666667,0.83,11.27,11.9784,1012.52,6.4,5.2,83.3,7,7.605
"219",15.71111111,0.75,9.6278,14.9569,1011.27,5.1,46,81.7,33,6.268
"221",17.75555556,0.65,3.3488,4.1216,1012.44,9.4,22.6,80.9,15,9.166
"222",19.68888889,0.54,2.9946,4.7656,1012.62,6.3,7.6,82.5,28,11.436
"223",20.95,0.5,3.3005,2.9302,1012.75,1.2,4.2,85.6,28,5.454
"224",19.95555556,0.49,1.4329,5.8443,1012.96,0.9,16.2,87.2,40,4.86
"225",21.80555556,0.43,2.415,9.6117,1013.38,6.3,5.2,85.4,37,7.598
"226",22.06666667,0.43,4.1538,9.6761,1013.14,11,17.9,85.3,10,4.692
"228",19.83333333,0.52,7.8085,11.0768,1013.56,5.1,24,85.8,39,10.41
"229",18.64444444,0.45,7.3738,11.27,1013.61,1.6,3.1,87.2,15,7.219
"230",17.02222222,0.56,8.372,11.27,1013.11,1.5,15.8,85.8,28,4.522
"232",14.90555556,0.67,10.8675,11.27,1012.2,24.2,17,80.8,51,8.633
"233",14.86111111,0.67,4.8139,11.2056,1011.7,12.9,11,83.8,35,6.502
"235",12.17777778,0.67,10.9319,11.2056,1011.32,0.9,2.6,83.2,18,9.69
"236",10.60555556,0.74,10.8514,9.982,1011.23,1.3,6.7,85.8,33,6.313
"238",8.438888889,0.83,9.177,9.982,1012.05,0.9,2.6,84.5,25,10.546
"239",8.316666667,0.83,10.9319,15.8263,1012.15,1.3,6.7,85,39,11.93
"241",7.85,0.83,6.5366,15.8263,1011.83,4.4,4.9,78.3,15,5.36
"242",9.966666667,0.77,14.2163,15.8263,1011.45,9.5,14,77.8,44,7.665
"243",13.49444444,0.62,3.6064,2.0125,1012.05,8.2,11.2,82.8,24,6.392
"244",16.04444444,0.53,8.4364,11.2056,1011.18,31.7,31.4,86.1,16,6.438
"246",18.65,0.47,13.8943,14.168,1009.83,3.1,8.5,80.9,592,4.92
"248",20.97222222,0.41,15.5848,11.27,1009.99,2,14.2,81.3,55,7.878
"251",19.92777778,0.4,22.0892,11.27,1010.33,13.9,14.4,79.6,166,8.252
"252",19.85555556,0.36,22.3468,10.3523,1010.43,10.8,91.4,77.1,32,7.662
"253",17.84444444,0.43,18.0642,11.2056,1010.29,20,59.4,82,71,14.55
"254",16.13333333,0.48,17.6456,11.2056,1010.1,19.1,85.1,83.9,42,13.867
"255",12.74444444,0.64,14.0875,11.0285,1009.96,44.3,192.4,83.7,45,15.947
"256",11.20555556,0.72,13.4113,11.2056,1009.86,20.2,57.4,83.6,36,9.863
"257",10.64444444,0.72,14.6188,11.2056,1009.47,26.8,101.7,82.8,33,9.812
